Delta Apply 20251202T174909Z mode=online
Totals: orders=2498 changed=2495 created=0 updated=0 warnings=298 failures=13 retries=0
-  [None]: orders=4 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 3UK-CNS-Sustainability 2026 - Telco Cloud Core [None]: orders=2 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 3UK-Demand Services Team - WP03 [None]: orders=2 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 3UK-Lab Maintenance - WP04 [None]: orders=10 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 3UK-Lannion Lab Maintenance [None]: orders=7 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 3UK-RO-077 - Roaming FW Capacity Expansion [None]: orders=3 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 3UK-RO-134 - Farnborough Pre-Prod Hardware Swap out [None]: orders=1 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 3UK-Telco Cloud NVF transitioning to Clavister [None]: orders=6 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 3rd Party Services [None]: orders=14 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 5G EIR [None]: orders=9 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 7750- MG [None]: orders=44 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- 8650 SDM [None]: orders=21 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- AAA [None]: orders=301 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- AAA Customization [None]: orders=3 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- ACF/IWF [None]: orders=1 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- AEP / ExP [None]: orders=30 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- AMF [None]: orders=7 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- AOR, SURE, NPM [None]: orders=9 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- AVA EE [None]: orders=5 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- Ansible Playbooks Development and Delivery [None]: orders=15 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- Automation [None]: orders=52 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- BMC (Broadcast Messaging Centre) [None]: orders=4 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- BQR (Business Query Repository) [None]: orders=2 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- BT UK [None]: orders=3 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- CADM (Central Analytics and Data Management) [None]: orders=8 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- CBAM [None]: orders=363 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- CBAM,CBIS [None]: orders=1 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
- CBIS [None]: orders=769 changed=0 created(epics=0, stories=0) updated=0 warnings=1 failures=0
